measurement_id,event_time,order_id,item_cd,equipment_cd,machine_name,weight,std_weight,upper_limit,lower_limit,result_flag,weight_diff
MSR000000029,2026-05-11 18:07:28,ORD000001,ITEM005,EQ001,Filling Machine 1,354.23,350.0,368.0,338.0,OK,4.23
MSR000000030,2026-05-11 18:06:46,ORD000001,ITEM005,EQ001,Filling Machine 1,358.65,350.0,368.0,338.0,OK,8.65
MSR000000031,2026-05-11 18:08:00,ORD000001,ITEM005,EQ001,Filling Machine 1,356.95,350.0,368.0,338.0,OK,6.95
MSR000000032,2026-05-11 18:09:49,ORD000001,ITEM005,EQ001,Filling Machine 1,351.63,350.0,368.0,338.0,OK,1.63
MSR000000033,2026-05-11 18:06:24,ORD000001,ITEM005,EQ001,Filling Machine 1,348.2,350.0,368.0,338.0,OK,-1.8
MSR000000034,2026-05-11 18:04:57,ORD000001,ITEM005,EQ001,Filling Machine 1,353.54,350.0,368.0,338.0,OK,3.54
MSR000000035,2026-05-11 18:07:22,ORD000001,ITEM005,EQ001,Filling Machine 1,344.56,350.0,368.0,338.0,OK,-5.44
MSR000000036,2026-05-11 18:09:20,ORD000001,ITEM005,EQ001,Filling Machine 1,346.19,350.0,368.0,338.0,OK,-3.81
MSR000000037,2026-05-11 18:11:24,ORD000001,ITEM005,EQ001,Filling Machine 1,360.14,350.0,368.0,338.0,OK,10.14
MSR000000038,2026-05-11 18:06:47,ORD000001,ITEM005,EQ001,Filling Machine 1,353.48,350.0,368.0,338.0,OK,3.48
MSR000000039,2026-05-11 18:07:36,ORD000001,ITEM005,EQ001,Filling Machine 1,348.97,350.0,368.0,338.0,OK,-1.03
MSR000000040,2026-05-11 18:13:00,ORD000001,ITEM005,EQ001,Filling Machine 1,356.02,350.0,368.0,338.0,OK,6.02
MSR000000041,2026-05-11 18:08:00,ORD000001,ITEM005,EQ001,Filling Machine 1,358.76,350.0,368.0,338.0,OK,8.76
MSR000000042,2026-05-11 18:07:31,ORD000001,ITEM005,EQ001,Filling Machine 1,348.36,350.0,368.0,338.0,OK,-1.64
MSR000000043,2026-05-11 18:09:06,ORD000001,ITEM005,EQ001,Filling Machine 1,348.45,350.0,368.0,338.0,OK,-1.55
MSR000000044,2026-05-11 18:05:44,ORD000001,ITEM005,EQ001,Filling Machine 1,347.68,350.0,368.0,338.0,OK,-2.32
MSR000000045,2026-05-11 18:07:20,ORD000001,ITEM005,EQ001,Filling Machine 1,356.77,350.0,368.0,338.0,OK,6.77
MSR000000046,2026-05-11 18:06:00,ORD000001,ITEM005,EQ001,Filling Machine 1,356.82,350.0,368.0,338.0,OK,6.82
MSR000000047,2026-05-11 18:14:34,ORD000001,ITEM005,EQ001,Filling Machine 1,359.28,350.0,368.0,338.0,OK,9.28
MSR000000048,2026-05-11 18:14:06,ORD000001,ITEM005,EQ001,Filling Machine 1,357.01,350.0,368.0,338.0,OK,7.01
MSR000000049,2026-05-11 18:12:00,ORD000001,ITEM005,EQ001,Filling Machine 1,341.15,350.0,368.0,338.0,OK,-8.85
MSR000000050,2026-05-11 18:06:32,ORD000001,ITEM005,EQ001,Filling Machine 1,352.62,350.0,368.0,338.0,OK,2.62
MSR000000051,2026-05-11 18:12:30,ORD000001,ITEM005,EQ001,Filling Machine 1,344.57,350.0,368.0,338.0,OK,-5.43
MSR000000052,2026-05-11 18:11:03,ORD000001,ITEM005,EQ001,Filling Machine 1,347.83,350.0,368.0,338.0,OK,-2.17
MSR000000053,2026-05-11 18:06:56,ORD000001,ITEM005,EQ001,Filling Machine 1,351.92,350.0,368.0,338.0,OK,1.92
MSR000000054,2026-05-11 18:13:15,ORD000001,ITEM005,EQ001,Filling Machine 1,355.9,350.0,368.0,338.0,OK,5.9
MSR000000055,2026-05-11 18:08:06,ORD000001,ITEM005,EQ001,Filling Machine 1,345.53,350.0,368.0,338.0,OK,-4.47
MSR000000056,2026-05-11 18:08:15,ORD000001,ITEM005,EQ001,Filling Machine 1,336.91,350.0,368.0,338.0,UNDER,-13.09
MSR000000057,2026-05-11 18:16:48,ORD000001,ITEM005,EQ001,Filling Machine 1,351.93,350.0,368.0,338.0,OK,1.93
MSR000000058,2026-05-11 18:09:30,ORD000001,ITEM005,EQ001,Filling Machine 1,366.7,350.0,368.0,338.0,OK,16.7
MSR000000059,2026-05-11 18:11:36,ORD000001,ITEM005,EQ001,Filling Machine 1,349.61,350.0,368.0,338.0,OK,-0.39
MSR000000060,2026-05-11 18:10:49,ORD000001,ITEM005,EQ001,Filling Machine 1,351.1,350.0,368.0,338.0,OK,1.1
MSR000000061,2026-05-11 18:20:00,ORD000001,ITEM005,EQ001,Filling Machine 1,361.5,350.0,368.0,338.0,OK,11.5
MSR000000062,2026-05-11 18:17:17,ORD000001,ITEM005,EQ001,Filling Machine 1,354.33,350.0,368.0,338.0,OK,4.33
MSR000000063,2026-05-11 18:11:22,ORD000001,ITEM005,EQ001,Filling Machine 1,352.08,350.0,368.0,338.0,OK,2.08
MSR000000064,2026-05-11 18:14:42,ORD000001,ITEM005,EQ001,Filling Machine 1,353.42,350.0,368.0,338.0,OK,3.42
MSR000000065,2026-05-11 18:16:00,ORD000001,ITEM005,EQ001,Filling Machine 1,352.26,350.0,368.0,338.0,OK,2.26
MSR000000066,2026-05-11 18:18:25,ORD000001,ITEM005,EQ001,Filling Machine 1,343.91,350.0,368.0,338.0,OK,-6.09
MSR000000067,2026-05-11 18:13:12,ORD000001,ITEM005,EQ001,Filling Machine 1,342.69,350.0,368.0,338.0,OK,-7.31
MSR000000068,2026-05-11 18:08:56,ORD000001,ITEM005,EQ001,Filling Machine 1,362.04,350.0,368.0,338.0,OK,12.04
MSR000000069,2026-05-11 18:21:32,ORD000001,ITEM005,EQ001,Filling Machine 1,351.81,350.0,368.0,338.0,OK,1.81
MSR000000070,2026-05-11 18:23:00,ORD000001,ITEM005,EQ001,Filling Machine 1,351.3,350.0,368.0,338.0,OK,1.3
MSR000000071,2026-05-11 18:12:50,ORD000001,ITEM005,EQ001,Filling Machine 1,350.15,350.0,368.0,338.0,OK,0.15
MSR000000072,2026-05-11 18:10:39,ORD000001,ITEM005,EQ001,Filling Machine 1,355.36,350.0,368.0,338.0,OK,5.36
MSR000000073,2026-05-11 18:12:00,ORD000001,ITEM005,EQ001,Filling Machine 1,365.9,350.0,368.0,338.0,OK,15.9
MSR000000074,2026-05-11 18:12:10,ORD000001,ITEM005,EQ001,Filling Machine 1,331.21,350.0,368.0,338.0,UNDER,-18.79
MSR000000075,2026-05-11 18:18:30,ORD000001,ITEM005,EQ001,Filling Machine 1,345.86,350.0,368.0,338.0,OK,-4.14
MSR000000076,2026-05-11 18:18:45,ORD000001,ITEM005,EQ001,Filling Machine 1,354.59,350.0,368.0,338.0,OK,4.59
MSR000000077,2026-05-11 18:13:56,ORD000001,ITEM005,EQ001,Filling Machine 1,353.47,350.0,368.0,338.0,OK,3.47
MSR000000078,2026-05-11 18:15:24,ORD000001,ITEM005,EQ001,Filling Machine 1,358.52,350.0,368.0,338.0,OK,8.52
MSR000000079,2026-05-11 18:19:30,ORD000001,ITEM005,EQ001,Filling Machine 1,349.33,350.0,368.0,338.0,OK,-0.67
MSR000000080,2026-05-11 18:14:29,ORD000001,ITEM005,EQ001,Filling Machine 1,344.9,350.0,368.0,338.0,OK,-5.1
MSR000000081,2026-05-11 18:26:40,ORD000001,ITEM005,EQ001,Filling Machine 1,341.24,350.0,368.0,338.0,OK,-8.76
MSR000000082,2026-05-11 18:22:57,ORD000001,ITEM005,EQ001,Filling Machine 1,333.85,350.0,368.0,338.0,UNDER,-16.15
MSR000000083,2026-05-11 18:15:02,ORD000001,ITEM005,EQ001,Filling Machine 1,351.52,350.0,368.0,338.0,OK,1.52
MSR000000084,2026-05-11 18:22:08,ORD000001,ITEM005,EQ001,Filling Machine 1,355.19,350.0,368.0,338.0,OK,5.19
MSR000000085,2026-05-11 18:14:00,ORD000001,ITEM005,EQ001,Filling Machine 1,353.35,350.0,368.0,338.0,OK,3.35
MSR000000086,2026-05-11 18:14:10,ORD000001,ITEM005,EQ001,Filling Machine 1,341.33,350.0,368.0,338.0,OK,-8.67
MSR000000087,2026-05-11 18:14:20,ORD000001,ITEM005,EQ001,Filling Machine 1,356.73,350.0,368.0,338.0,OK,6.73
MSR000000088,2026-05-11 18:24:39,ORD000001,ITEM005,EQ001,Filling Machine 1,346.3,350.0,368.0,338.0,OK,-3.7
MSR000000089,2026-05-11 18:24:56,ORD000001,ITEM005,EQ001,Filling Machine 1,345.04,350.0,368.0,338.0,OK,-4.96
MSR000000090,2026-05-11 13:00:00,ORD000002,ITEM005,EQ001,Filling Machine 1,347.18,350.0,368.0,338.0,OK,-2.82
MSR000000091,2026-05-11 13:00:12,ORD000002,ITEM005,EQ001,Filling Machine 1,354.17,350.0,368.0,338.0,OK,4.17
MSR000000092,2026-05-11 13:00:24,ORD000002,ITEM005,EQ001,Filling Machine 1,351.57,350.0,368.0,338.0,OK,1.57
MSR000000093,2026-05-11 13:00:45,ORD000002,ITEM005,EQ001,Filling Machine 1,365.14,350.0,368.0,338.0,OK,15.14
MSR000000094,2026-05-11 13:01:08,ORD000002,ITEM005,EQ001,Filling Machine 1,341.7,350.0,368.0,338.0,OK,-8.3
MSR000000095,2026-05-11 13:01:10,ORD000002,ITEM005,EQ001,Filling Machine 1,352.13,350.0,368.0,338.0,OK,2.13
MSR000000096,2026-05-11 13:01:42,ORD000002,ITEM005,EQ001,Filling Machine 1,358.24,350.0,368.0,338.0,OK,8.24
MSR000000097,2026-05-11 13:01:03,ORD000002,ITEM005,EQ001,Filling Machine 1,347.98,350.0,368.0,338.0,OK,-2.02
MSR000000098,2026-05-11 13:02:24,ORD000002,ITEM005,EQ001,Filling Machine 1,345.98,350.0,368.0,338.0,OK,-4.02
MSR000000099,2026-05-11 13:02:33,ORD000002,ITEM005,EQ001,Filling Machine 1,346.22,350.0,368.0,338.0,OK,-3.78
MSR000000100,2026-05-11 13:01:20,ORD000002,ITEM005,EQ001,Filling Machine 1,341.76,350.0,368.0,338.0,OK,-8.24
MSR000000101,2026-05-11 13:03:18,ORD000002,ITEM005,EQ001,Filling Machine 1,359.53,350.0,368.0,338.0,OK,9.53
MSR000000102,2026-05-11 13:03:24,ORD000002,ITEM005,EQ001,Filling Machine 1,349.44,350.0,368.0,338.0,OK,-0.56
MSR000000103,2026-05-11 13:04:20,ORD000002,ITEM005,EQ001,Filling Machine 1,348.73,350.0,368.0,338.0,OK,-1.27
MSR000000104,2026-05-11 13:03:44,ORD000002,ITEM005,EQ001,Filling Machine 1,338.66,350.0,368.0,338.0,OK,-11.34
MSR000000105,2026-05-11 13:03:00,ORD000002,ITEM005,EQ001,Filling Machine 1,342.8,350.0,368.0,338.0,OK,-7.2
MSR000000106,2026-05-11 13:04:32,ORD000002,ITEM005,EQ001,Filling Machine 1,360.19,350.0,368.0,338.0,OK,10.19
MSR000000107,2026-05-11 13:04:15,ORD000002,ITEM005,EQ001,Filling Machine 1,353.21,350.0,368.0,338.0,OK,3.21
MSR000000108,2026-05-11 13:04:30,ORD000002,ITEM005,EQ001,Filling Machine 1,358.38,350.0,368.0,338.0,OK,8.38
MSR000000109,2026-05-11 13:04:07,ORD000002,ITEM005,EQ001,Filling Machine 1,357.62,350.0,368.0,338.0,OK,7.62
MSR000000110,2026-05-11 13:03:00,ORD000002,ITEM005,EQ001,Filling Machine 1,345.37,350.0,368.0,338.0,OK,-4.63
MSR000000111,2026-05-11 13:04:33,ORD000002,ITEM005,EQ001,Filling Machine 1,365.94,350.0,368.0,338.0,OK,15.94
MSR000000112,2026-05-11 13:05:30,ORD000002,ITEM005,EQ001,Filling Machine 1,363.06,350.0,368.0,338.0,OK,13.06
MSR000000113,2026-05-11 13:05:22,ORD000002,ITEM005,EQ001,Filling Machine 1,347.97,350.0,368.0,338.0,OK,-2.03
MSR000000114,2026-05-11 13:06:24,ORD000002,ITEM005,EQ001,Filling Machine 1,329.94,350.0,368.0,338.0,UNDER,-20.06
MSR000000115,2026-05-11 13:03:45,ORD000002,ITEM005,EQ001,Filling Machine 1,349.2,350.0,368.0,338.0,OK,-0.8
MSR000000116,2026-05-11 13:05:38,ORD000002,ITEM005,EQ001,Filling Machine 1,352.76,350.0,368.0,338.0,OK,2.76
MSR000000117,2026-05-11 13:09:00,ORD000002,ITEM005,EQ001,Filling Machine 1,347.92,350.0,368.0,338.0,OK,-2.08
MSR000000118,2026-05-11 13:07:28,ORD000002,ITEM005,EQ001,Filling Machine 1,349.99,350.0,368.0,338.0,OK,-0.01
MSR000000119,2026-05-11 13:03:52,ORD000002,ITEM005,EQ001,Filling Machine 1,346.34,350.0,368.0,338.0,OK,-3.66
MSR000000120,2026-05-11 13:08:00,ORD000002,ITEM005,EQ001,Filling Machine 1,356.84,350.0,368.0,338.0,OK,6.84
MSR000000121,2026-05-11 13:04:08,ORD000002,ITEM005,EQ001,Filling Machine 1,351.68,350.0,368.0,338.0,OK,1.68
MSR000000122,2026-05-11 13:06:56,ORD000002,ITEM005,EQ001,Filling Machine 1,357.0,350.0,368.0,338.0,OK,7.0
MSR000000123,2026-05-11 13:08:15,ORD000002,ITEM005,EQ001,Filling Machine 1,358.62,350.0,368.0,338.0,OK,8.62
MSR000000124,2026-05-11 13:11:20,ORD000002,ITEM005,EQ001,Filling Machine 1,338.23,350.0,368.0,338.0,OK,-11.77
MSR000000125,2026-05-11 13:07:00,ORD000002,ITEM005,EQ001,Filling Machine 1,346.65,350.0,368.0,338.0,OK,-3.35
MSR000000126,2026-05-11 13:07:12,ORD000002,ITEM005,EQ001,Filling Machine 1,347.52,350.0,368.0,338.0,OK,-2.48
MSR000000127,2026-05-11 13:11:43,ORD000002,ITEM005,EQ001,Filling Machine 1,366.69,350.0,368.0,338.0,OK,16.69
MSR000000128,2026-05-11 13:05:04,ORD000002,ITEM005,EQ001,Filling Machine 1,352.15,350.0,368.0,338.0,OK,2.15
MSR000000129,2026-05-11 13:11:03,ORD000002,ITEM005,EQ001,Filling Machine 1,356.12,350.0,368.0,338.0,OK,6.12
MSR000000130,2026-05-11 13:12:40,ORD000002,ITEM005,EQ001,Filling Machine 1,339.96,350.0,368.0,338.0,OK,-10.04
MSR000000131,2026-05-11 13:10:56,ORD000002,ITEM005,EQ001,Filling Machine 1,369.08,350.0,368.0,338.0,OVER,19.08
MSR000000132,2026-05-11 13:09:48,ORD000002,ITEM005,EQ001,Filling Machine 1,357.1,350.0,368.0,338.0,OK,7.1
MSR000000133,2026-05-11 13:06:27,ORD000002,ITEM005,EQ001,Filling Machine 1,356.1,350.0,368.0,338.0,OK,6.1
MSR000000134,2026-05-11 13:06:36,ORD000002,ITEM005,EQ001,Filling Machine 1,345.57,350.0,368.0,338.0,OK,-4.43
MSR000000135,2026-05-11 13:07:30,ORD000002,ITEM005,EQ001,Filling Machine 1,352.62,350.0,368.0,338.0,OK,2.62
MSR000000136,2026-05-11 13:14:34,ORD000002,ITEM005,EQ001,Filling Machine 1,352.72,350.0,368.0,338.0,OK,2.72
MSR000000137,2026-05-11 13:14:53,ORD000002,ITEM005,EQ001,Filling Machine 1,361.07,350.0,368.0,338.0,OK,11.07
MSR000000138,2026-05-11 13:12:00,ORD000002,ITEM005,EQ001,Filling Machine 1,345.15,350.0,368.0,338.0,OK,-4.85
MSR000000139,2026-05-11 13:08:59,ORD000002,ITEM005,EQ001,Filling Machine 1,347.24,350.0,368.0,338.0,OK,-2.76
MSR000000140,2026-05-11 13:08:20,ORD000002,ITEM005,EQ001,Filling Machine 1,345.55,350.0,368.0,338.0,OK,-4.45
MSR000000141,2026-05-11 13:14:27,ORD000002,ITEM005,EQ001,Filling Machine 1,341.15,350.0,368.0,338.0,OK,-8.85
MSR000000142,2026-05-11 13:08:40,ORD000002,ITEM005,EQ001,Filling Machine 1,361.75,350.0,368.0,338.0,OK,11.75
MSR000000143,2026-05-11 13:10:36,ORD000002,ITEM005,EQ001,Filling Machine 1,343.71,350.0,368.0,338.0,OK,-6.29
MSR000000144,2026-05-11 13:12:36,ORD000002,ITEM005,EQ001,Filling Machine 1,346.25,350.0,368.0,338.0,OK,-3.75
MSR000000145,2026-05-11 13:18:20,ORD000002,ITEM005,EQ001,Filling Machine 1,359.04,350.0,368.0,338.0,OK,9.04
MSR000000146,2026-05-11 13:07:28,ORD000002,ITEM005,EQ001,Filling Machine 1,340.62,350.0,368.0,338.0,OK,-9.38
MSR000000147,2026-05-11 13:11:24,ORD000002,ITEM005,EQ001,Filling Machine 1,355.67,350.0,368.0,338.0,OK,5.67
MSR000000148,2026-05-11 13:16:26,ORD000002,ITEM005,EQ001,Filling Machine 1,342.65,350.0,368.0,338.0,OK,-7.35
MSR000000149,2026-05-11 13:14:45,ORD000002,ITEM005,EQ001,Filling Machine 1,358.6,350.0,368.0,338.0,OK,8.6
MSR000000150,2026-05-11 13:15:00,ORD000002,ITEM005,EQ001,Filling Machine 1,338.09,350.0,368.0,338.0,OK,-11.91
MSR000000151,2026-05-11 13:13:13,ORD000002,ITEM005,EQ001,Filling Machine 1,340.58,350.0,368.0,338.0,OK,-9.42
MSR000000152,2026-05-11 13:20:40,ORD000002,ITEM005,EQ001,Filling Machine 1,347.83,350.0,368.0,338.0,OK,-2.17
MSR000000153,2026-05-11 13:15:45,ORD000002,ITEM005,EQ001,Filling Machine 1,356.92,350.0,368.0,338.0,OK,6.92
MSR000000154,2026-05-11 13:11:44,ORD000002,ITEM005,EQ001,Filling Machine 1,350.9,350.0,368.0,338.0,OK,0.9
MSR000000155,2026-05-11 13:11:55,ORD000002,ITEM005,EQ001,Filling Machine 1,349.07,350.0,368.0,338.0,OK,-0.93
MSR000000156,2026-05-11 13:12:06,ORD000002,ITEM005,EQ001,Filling Machine 1,359.15,350.0,368.0,338.0,OK,9.15
MSR000000157,2026-05-11 13:15:38,ORD000002,ITEM005,EQ001,Filling Machine 1,364.0,350.0,368.0,338.0,OK,14.0
MSR000000158,2026-05-11 13:21:32,ORD000002,ITEM005,EQ001,Filling Machine 1,355.09,350.0,368.0,338.0,OK,5.09
MSR000000159,2026-05-11 13:23:00,ORD000002,ITEM005,EQ001,Filling Machine 1,347.32,350.0,368.0,338.0,OK,-2.68
MSR000000160,2026-05-11 13:21:00,ORD000002,ITEM005,EQ001,Filling Machine 1,348.54,350.0,368.0,338.0,OK,-1.46
MSR000000161,2026-05-11 13:21:18,ORD000002,ITEM005,EQ001,Filling Machine 1,343.31,350.0,368.0,338.0,OK,-6.69
MSR000000162,2026-05-11 13:18:00,ORD000002,ITEM005,EQ001,Filling Machine 1,351.64,350.0,368.0,338.0,OK,1.64
MSR000000163,2026-05-11 13:12:10,ORD000002,ITEM005,EQ001,Filling Machine 1,341.25,350.0,368.0,338.0,OK,-8.75
MSR000000164,2026-05-11 13:20:58,ORD000002,ITEM005,EQ001,Filling Machine 1,354.33,350.0,368.0,338.0,OK,4.33
MSR000000165,2026-05-11 13:11:15,ORD000002,ITEM005,EQ001,Filling Machine 1,363.05,350.0,368.0,338.0,OK,13.05
MSR000000166,2026-05-11 13:19:00,ORD000002,ITEM005,EQ001,Filling Machine 1,355.31,350.0,368.0,338.0,OK,5.31
MSR000000167,2026-05-11 13:19:15,ORD000002,ITEM005,EQ001,Filling Machine 1,348.19,350.0,368.0,338.0,OK,-1.81
MSR000000168,2026-05-11 13:13:00,ORD000002,ITEM005,EQ001,Filling Machine 1,354.16,350.0,368.0,338.0,OK,4.16
MSR000000169,2026-05-11 13:23:42,ORD000002,ITEM005,EQ001,Filling Machine 1,360.71,350.0,368.0,338.0,OK,10.71
MSR000000170,2026-05-11 06:00:00,ORD000003,ITEM005,EQ001,Filling Machine 1,360.92,350.0,368.0,338.0,OK,10.92
MSR000000171,2026-05-11 06:00:12,ORD000003,ITEM005,EQ001,Filling Machine 1,340.48,350.0,368.0,338.0,OK,-9.52
MSR000000172,2026-05-11 06:00:38,ORD000003,ITEM005,EQ001,Filling Machine 1,343.86,350.0,368.0,338.0,OK,-6.14
MSR000000173,2026-05-11 06:00:27,ORD000003,ITEM005,EQ001,Filling Machine 1,347.81,350.0,368.0,338.0,OK,-2.19
MSR000000174,2026-05-11 06:01:12,ORD000003,ITEM005,EQ001,Filling Machine 1,351.74,350.0,368.0,338.0,OK,1.74
MSR000000175,2026-05-11 06:01:10,ORD000003,ITEM005,EQ001,Filling Machine 1,354.71,350.0,368.0,338.0,OK,4.71
MSR000000176,2026-05-11 06:01:48,ORD000003,ITEM005,EQ001,Filling Machine 1,347.27,350.0,368.0,338.0,OK,-2.73
MSR000000177,2026-05-11 06:02:20,ORD000003,ITEM005,EQ001,Filling Machine 1,352.77,350.0,368.0,338.0,OK,2.77
MSR000000178,2026-05-11 06:02:08,ORD000003,ITEM005,EQ001,Filling Machine 1,347.14,350.0,368.0,338.0,OK,-2.86
MSR000000179,2026-05-11 06:01:21,ORD000003,ITEM005,EQ001,Filling Machine 1,348.02,350.0,368.0,338.0,OK,-1.98
MSR000000180,2026-05-11 06:03:00,ORD000003,ITEM005,EQ001,Filling Machine 1,343.27,350.0,368.0,338.0,OK,-6.73
MSR000000181,2026-05-11 06:02:01,ORD000003,ITEM005,EQ001,Filling Machine 1,346.19,350.0,368.0,338.0,OK,-3.81
MSR000000182,2026-05-11 06:02:48,ORD000003,ITEM005,EQ001,Filling Machine 1,343.64,350.0,368.0,338.0,OK,-6.36
MSR000000183,2026-05-11 06:04:20,ORD000003,ITEM005,EQ001,Filling Machine 1,345.92,350.0,368.0,338.0,OK,-4.08
MSR000000184,2026-05-11 06:02:06,ORD000003,ITEM005,EQ001,Filling Machine 1,358.12,350.0,368.0,338.0,OK,8.12
MSR000000185,2026-05-11 06:04:45,ORD000003,ITEM005,EQ001,Filling Machine 1,346.12,350.0,368.0,338.0,OK,-3.88
MSR000000186,2026-05-11 06:02:08,ORD000003,ITEM005,EQ001,Filling Machine 1,367.63,350.0,368.0,338.0,OK,17.63
MSR000000187,2026-05-11 06:05:40,ORD000003,ITEM005,EQ001,Filling Machine 1,354.82,350.0,368.0,338.0,OK,4.82
MSR000000188,2026-05-11 06:03:54,ORD000003,ITEM005,EQ001,Filling Machine 1,352.99,350.0,368.0,338.0,OK,2.99
MSR000000189,2026-05-11 06:03:10,ORD000003,ITEM005,EQ001,Filling Machine 1,346.75,350.0,368.0,338.0,OK,-3.25
MSR000000190,2026-05-11 06:04:40,ORD000003,ITEM005,EQ001,Filling Machine 1,356.12,350.0,368.0,338.0,OK,6.12
MSR000000191,2026-05-11 06:07:00,ORD000003,ITEM005,EQ001,Filling Machine 1,348.49,350.0,368.0,338.0,OK,-1.51
MSR000000192,2026-05-11 06:03:40,ORD000003,ITEM005,EQ001,Filling Machine 1,352.7,350.0,368.0,338.0,OK,2.7
MSR000000193,2026-05-11 06:05:22,ORD000003,ITEM005,EQ001,Filling Machine 1,367.35,350.0,368.0,338.0,OK,17.35
MSR000000194,2026-05-11 06:04:24,ORD000003,ITEM005,EQ001,Filling Machine 1,351.43,350.0,368.0,338.0,OK,1.43
MSR000000195,2026-05-11 06:07:05,ORD000003,ITEM005,EQ001,Filling Machine 1,358.92,350.0,368.0,338.0,OK,8.92
MSR000000196,2026-05-11 06:06:30,ORD000003,ITEM005,EQ001,Filling Machine 1,347.83,350.0,368.0,338.0,OK,-2.17
MSR000000197,2026-05-11 06:06:45,ORD000003,ITEM005,EQ001,Filling Machine 1,351.86,350.0,368.0,338.0,OK,1.86
MSR000000198,2026-05-11 06:03:44,ORD000003,ITEM005,EQ001,Filling Machine 1,362.71,350.0,368.0,338.0,OK,12.71
MSR000000199,2026-05-11 06:07:15,ORD000003,ITEM005,EQ001,Filling Machine 1,348.35,350.0,368.0,338.0,OK,-1.65
